"x","y","location"
809292.392992657,7885618.84446996,"inside region"
955971.073260918,7812257.29867406,"inside region"
1173174.90852139,7800687.8561215,"extension buffer"
183443.444624464,6994815.21694417,"inside region"
197994.438669559,6477315.27962504,"extension buffer"
476468.862615131,7523207.63617449,"inside region"
526403.709271059,7524851.97185711,"inside region"
550454.669233966,7478759.65896714,"inside region"
184177.153443103,7085143.49855158,"inside region"
539616.75572478,7432139.25857531,"inside region"
424326.978062548,6909646.06941688,"extension buffer"
338370.830833649,6932726.29795395,"inside region"
624170.498825684,7526888.15159593,"inside region"
372415.385224887,7089818.56738675,"inside region"
321445.070905533,7029527.98780461,"inside region"
-32453.1655324507,6590321.83443417,"inside region"
238026.660842664,6849760.97573664,"inside region"
-139994.940567233,6617212.64401863,"extension buffer"
171207.793860335,6847332.92338291,"inside region"
23415.0720264951,6564571.6233922,"inside region"
-6961.06787632808,6499363.5921938,"inside region"
310823.755212942,7501599.62334369,"extension buffer"
439282.40166457,7495085.96169096,"inside region"
881377.313991049,7869779.82122476,"inside region"
490370.405856932,7740359.80652489,"extension buffer"
980917.849613425,7720815.13519102,"inside region"
94861.9423795673,7097351.81402302,"extension buffer"
159640.641555131,7035840.4518302,"inside region"
458526.630935341,7157252.29454453,"inside region"
841849.103754482,7748478.43111063,"inside region"
281593.579536873,7059556.16983869,"inside region"
239376.110731795,6914733.39333324,"inside region"
304000.539891465,7123331.18265458,"inside region"
957184.856761062,7612250.16412987,"extension buffer"
309801.774871816,6575034.21429335,"inside region"
311802.537921586,6622244.16937686,"inside region"
914202.879808093,7746990.08991927,"inside region"
240396.317303906,7159231.4651422,"extension buffer"
144892.507461451,6629953.61747576,"inside region"
297817.932634123,6699203.81048443,"inside region"
547547.419102261,7564791.31659897,"inside region"
448975.727980931,6763628.79862481,"extension buffer"
727305.36336393,7756279.1058734,"inside region"
679422.462782754,7743600.86484921,"inside region"
768995.755968346,7735034.28999552,"inside region"
380034.55621122,6846833.46583675,"extension buffer"
90132.1553978187,7011826.68900318,"extension buffer"
-39078.7792826172,6727426.19654174,"inside region"
619945.952125569,7848254.3467416,"extension buffer"
790683.714077398,7822446.801169,"inside region"
536682.945621993,7692063.67848051,"inside region"
532450.554611026,7777715.58830519,"extension buffer"
648329.148578234,7777083.87888813,"inside region"
396177.719004347,7507271.07670912,"inside region"
-29191.2468865306,6415876.18667911,"extension buffer"
616084.085083534,7407314.63588652,"extension buffer"
1109927.86756854,7847709.90249959,"inside region"
861865.180232063,7996954.57331918,"extension buffer"
235458.885591952,6636161.83762314,"inside region"
432762.157190246,7334622.32847002,"inside region"
414434.539707259,7417404.39934125,"inside region"
429250.569728905,7669108.31813262,"extension buffer"
443850.596350743,7001601.59509106,"extension buffer"
352772.866913954,6706011.51046254,"inside region"
426936.808794736,6691815.69054804,"extension buffer"
363885.635774679,6758317.71440251,"inside region"
57039.6337839865,6614077.71111718,"inside region"
100673.333891266,6603022.11796571,"inside region"
56989.741704934,7074985.92010107,"extension buffer"
287521.283112491,6473530.11134904,"extension buffer"
71520.9865018614,6388452.50852719,"extension buffer"
43978.9781693635,6460687.14185665,"inside region"
-71785.5307797345,6567718.29771927,"extension buffer"
4187.97137122554,7023937.87399724,"extension buffer"
590459.2577773,7716489.00709235,"inside region"
642543.551146148,7677852.66136544,"inside region"
482615.25474469,7614100.09474007,"inside region"
456584.28442379,7575620.42134843,"inside region"
365930.648175917,7475871.95225249,"inside region"
-42107.9714326367,6862127.58748625,"extension buffer"
-76165.8702993694,6807373.96147958,"extension buffer"
200283.054451283,7176068.63621051,"extension buffer"
728343.689460222,7657814.10742609,"inside region"
406027.754597984,6767428.64640344,"extension buffer"
572734.610060729,7300239.94457155,"extension buffer"
391262.092555864,7625842.12155686,"extension buffer"
448934.061061724,7095397.16798724,"inside region"
-128621.037038511,6841266.60455443,"extension buffer"
412016.0933923,7074209.01058815,"extension buffer"
227149.837104464,7079161.89141386,"inside region"
524922.200767628,7614800.94732046,"inside region"
-50475.3884939693,6514042.12723127,"extension buffer"
